# Force coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cs            	Cl            	CmRoll        	CmPitch       	CmYaw         	Cd(f)         	Cd(r)         	Cs(f)         	Cs(r)         	Cl(f)         	Cl(r)         
0.01          	1.424339e+02	1.252751e-17	2.211312e-04	3.735795e-18	9.232414e-12	-3.331832e-19	7.121693e+01	7.121693e+01	5.930571e-18	6.596938e-18	1.105656e-04	1.105656e-04
0.02          	2.522745e+01	-9.311124e-21	-1.747744e-04	5.562417e-19	-6.909825e-09	-5.838297e-20	1.261372e+01	1.261372e+01	-6.303853e-20	5.372740e-20	-8.739411e-05	-8.738029e-05
0.03          	-3.238184e+00	1.238522e-20	-3.488244e-05	-7.174304e-20	-6.112465e-09	8.158772e-21	-1.619092e+00	-1.619092e+00	1.435138e-20	-1.966162e-21	-1.744733e-05	-1.743511e-05
0.04          	1.914902e-01	4.876833e-21	4.811432e-06	-5.956680e-24	-6.033666e-09	-4.299743e-23	9.574508e-02	9.574508e-02	2.395419e-21	2.481414e-21	2.399682e-06	2.411750e-06
0.05          	-8.715427e-02	4.776870e-21	-1.626956e-06	-5.535466e-21	-5.883965e-09	6.415340e-22	-4.357714e-02	-4.357714e-02	3.029969e-21	1.746901e-21	-8.193622e-07	-8.075943e-07
0.06          	2.711587e-02	4.144844e-21	-1.609845e-07	-3.280274e-21	-5.749111e-09	3.655555e-22	1.355793e-02	1.355793e-02	2.437978e-21	1.706867e-21	-8.624134e-08	-7.474312e-08
0.07          	5.791818e-02	3.756070e-21	-1.069053e-06	-2.715414e-21	-5.611207e-09	2.886532e-22	2.895909e-02	2.895909e-02	2.166688e-21	1.589382e-21	-5.401375e-07	-5.289151e-07
0.08          	9.602790e-02	3.443926e-21	-1.526148e-07	-1.953233e-21	-5.495424e-09	1.911778e-22	4.801395e-02	4.801395e-02	1.913141e-21	1.530785e-21	-8.180283e-08	-7.081198e-08
0.09          	1.217435e-01	3.207519e-21	-4.832798e-07	-1.413492e-21	-5.374124e-09	1.218240e-22	6.087175e-02	6.087175e-02	1.725584e-21	1.481936e-21	-2.470140e-07	-2.362658e-07
0.1           	1.423145e-01	3.017828e-21	-3.614768e-07	-9.614031e-22	-5.248950e-09	6.346149e-23	7.115727e-02	7.115727e-02	1.572375e-21	1.445452e-21	-1.859874e-07	-1.754895e-07
