"Points:0","Points:1","Points:2","U:0","U:1","U:2","p"
0,0,0,1,0,0,311.51
0.002,0,0,1.0084,-0.0055528,-6.4337e-14,311.81
0.004,0,0,1.0291,-0.01018,-1.2888e-13,312.39
0.006,0,0,1.0614,-0.014071,-1.8954e-13,312.85
0.008,0,0,1.103,-0.017191,-2.4406e-13,313.19
0.01,0,0,1.1517,-0.01954,-2.8818e-13,313.43
0.012,0,0,1.2056,-0.021158,-3.1713e-13,313.57
0.014,0,0,1.2629,-0.022106,-3.2862e-13,313.63
0.016,0,0,1.3218,-0.02246,-3.2178e-13,313.59
0.018,0,0,1.3809,-0.022307,-2.9924e-13,313.48
0.02,0,0,1.4389,-0.021736,-2.6512e-13,313.29
0.022,0,0,1.495,-0.020837,-2.2619e-13,313.03
0.024,0,0,1.5483,-0.019693,-1.8868e-13,312.71
0.026,0,0,1.5983,-0.018381,-1.5783e-13,312.35
0.028,0,0,1.6448,-0.016966,-1.4452e-13,311.93
0.03,0,0,1.6874,-0.015503,-7.7739e-14,311.48
0.032,0,0,1.7261,-0.014039,-1.6579e-14,310.99
0.034,0,0,1.761,-0.012609,-9.3434e-14,310.47
0.036,0,0,1.7922,-0.011239,-1.8071e-13,309.93
0.038,0,0,1.8199,-0.0099486,-2.1895e-13,309.36
0.04,0,0,1.8444,-0.0087495,-2.6522e-13,308.78
0.042,0,0,1.8658,-0.0076488,-3.0518e-13,308.19
0.044,0,0,1.8845,-0.0066488,-3.2236e-13,307.59
0.046,0,0,1.9007,-0.0057489,-3.0168e-13,306.97
0.048,0,0,1.9146,-0.0049457,-2.4113e-13,306.35
0.05,0,0,1.9266,-0.0042341,-1.4426e-13,305.72
0.052,0,0,1.9368,-0.0036081,-5.2515e-14,305.09
0.054,0,0,1.9455,-0.0030607,-5.578e-14,304.45
0.056,0,0,1.9528,-0.0025849,-1.5403e-13,303.81
0.058,0,0,1.959,-0.0021735,-3.0934e-13,303.17
0.06,0,0,1.9642,-0.0018197,-5.0951e-13,302.53
0.062,0,0,1.9686,-0.0015168,-7.1368e-13,301.89
